gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,StreamingServices,TenureGroup,ContractRisk,PaymentType,InternetType,HighValueCustomer,EngagementLevel
Male,No,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.25,711.9,Retained,23.73,No Streaming,2-4 Years,Low Risk,Manual,No Internet,No,Low
Female,No,No,No,33,Yes,Yes,DSL,Secure,No Backup,Not Protected,Support Available,One year,No,Electronic check,59.4,1952.8,Retained,59.17575757575757,No Streaming,2-4 Years,Medium Risk,Manual,Medium Speed,No,Low
Male,No,Yes,Yes,45,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Protected,No Support,One year,Yes,Credit card (automatic),95.0,4368.85,Retained,97.08555555555556,Movies Only,2-4 Years,Medium Risk,Auto,High Speed,Yes,Medium
Male,No,No,No,40,Yes,No,DSL,Secure,Backup Enabled,Not Protected,Support Available,Month-to-month,Yes,Mailed check,61.9,2647.1,Retained,66.1775,No Streaming,2-4 Years,High Risk,Manual,Medium Speed,No,Low
Female,No,No,No,71,Yes,Yes,Fiber optic,Secure,Backup Enabled,Protected,Support Available,Two year,Yes,Electronic check,118.65,8477.6,Retained,119.40281690140846,TV + Movies,4+ Years,Low Risk,Manual,High Speed,Yes,Medium
Male,No,No,No,1,Yes,Yes,DSL,Not Secure,No Backup,Protected,No Support,Month-to-month,No,Electronic check,54.35,54.35,Churned,54.35,No Streaming,0-1 Year,High Risk,Manual,Medium Speed,No,Low
Female,No,Yes,Yes,72,No,No,DSL,Secure,Backup Enabled,Protected,Support Available,Two year,No,Bank transfer (automatic),64.45,4528.0,Retained,62.888888888888886,TV + Movies,4+ Years,Low Risk,Auto,Medium Speed,No,Low
Female,No,Yes,Yes,22,Yes,No,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,80.15,1790.65,Retained,81.39318181818182,Movies Only,1-2 Years,High Risk,Manual,High Speed,Yes,Low
Male,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.2,845.6,Retained,18.382608695652173,No Streaming,2-4 Years,Medium Risk,Auto,No Internet,No,Low
Female,No,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.0,1210.3,Retained,22.005454545454544,No Streaming,4+ Years,Low Risk,Manual,No Internet,No,Low
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.45,20.45,Retained,20.45,No Streaming,0-1 Year,High Risk,Manual,No Internet,No,Low
Female,No,No,No,12,Yes,Yes,DSL,Not Secure,No Backup,Not Protected,Support Available,One year,Yes,Mailed check,75.85,854.45,Retained,71.20416666666667,TV + Movies,0-1 Year,Medium Risk,Manual,Medium Speed,Yes,Medium
Male,No,No,No,31,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Not Protected,No Support,Month-to-month,Yes,Electronic check,80.45,2429.1,Retained,78.35806451612903,No Streaming,2-4 Years,High Risk,Manual,High Speed,Yes,Low
Male,No,Yes,No,5,No,No,DSL,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,24.95,100.4,Churned,20.080000000000002,No Streaming,0-1 Year,High Risk,Manual,Medium Speed,No,Low
Female,No,Yes,Yes,67,Yes,Yes,DSL,Secure,No Backup,Not Protected,No Support,Two year,Yes,Electronic check,75.5,5229.45,Retained,78.05149253731344,TV + Movies,4+ Years,Low Risk,Manual,Medium Speed,Yes,Medium
Male,No,No,No,1,Yes,No,DSL,Not Secure,No Backup,Not Protected,No Support,Month-to-month,No,Mailed check,44.45,44.45,Retained,44.45,No Streaming,0-1 Year,High Risk,Manual,Medium Speed,No,Low
Male,No,Yes,No,40,No,No,DSL,Secure,Backup Enabled,Protected,No Support,One year,Yes,Electronic check,42.35,1716.45,Churned,42.91125,No Streaming,2-4 Years,Medium Risk,Manual,Medium Speed,No,Low
Male,No,Yes,Yes,41,Yes,Yes,DSL,Secure,Backup Enabled,Protected,No Support,Month-to-month,Yes,Credit card (automatic),74.55,3023.55,Retained,73.74512195121952,TV Only,2-4 Years,High Risk,Auto,Medium Speed,Yes,Medium
Male,No,No,No,1,Yes,Yes,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,75.3,75.3,Churned,75.3,No Streaming,0-1 Year,High Risk,Manual,High Speed,Yes,Low
Male,No,No,No,51,Yes,Yes,Fiber optic,Secure,Backup Enabled,Not Protected,No Support,One year,Yes,Electronic check,94.8,4837.6,Churned,94.85490196078432,TV Only,4+ Years,Medium Risk,Manual,High Speed,Yes,Medium
Male,No,Yes,Yes,42,No,No,DSL,Secure,No Backup,Protected,Support Available,Two year,No,Credit card (automatic),48.15,2032.3,Retained,48.38809523809524,TV Only,2-4 Years,Low Risk,Auto,Medium Speed,No,Low
Male,No,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.65,436.9,Retained,18.995652173913044,No Streaming,1-2 Years,Medium Risk,Manual,No Internet,No,Low
Female,Yes,No,No,1,Yes,No,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,70.55,70.55,Churned,70.55,No Streaming,0-1 Year,High Risk,Manual,High Speed,Yes,Low
Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Retained,20.15,No Streaming,0-1 Year,High Risk,Manual,No Internet,No,Low
Female,No,No,No,56,Yes,Yes,Fiber optic,Secure,Backup Enabled,Not Protected,No Support,Month-to-month,Yes,Credit card (automatic),106.6,5893.95,Retained,105.24910714285714,TV + Movies,4+ Years,High Risk,Auto,High Speed,Yes,Medium
Male,No,No,Yes,15,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Not Protected,No Support,Month-to-month,Yes,Electronic check,91.0,1430.05,Retained,95.33666666666666,TV Only,1-2 Years,High Risk,Manual,High Speed,Yes,Medium
Male,No,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.4,313.0,Retained,26.083333333333332,No Streaming,0-1 Year,Low Risk,Auto,No Internet,No,Low
Female,No,Yes,Yes,54,Yes,No,DSL,Secure,No Backup,Protected,Support Available,Two year,No,Bank transfer (automatic),69.95,3871.85,Retained,71.70092592592593,Movies Only,4+ Years,Low Risk,Auto,Medium Speed,No,Low
Female,No,No,No,7,Yes,No,DSL,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,66.85,458.1,Retained,65.44285714285715,TV + Movies,0-1 Year,High Risk,Manual,Medium Speed,No,Medium
Female,No,Yes,Yes,33,Yes,Yes,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,No,Credit card (automatic),86.15,2745.7,Churned,83.2030303030303,Movies Only,2-4 Years,High Risk,Auto,High Speed,Yes,Medium
Male,No,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.15,341.35,Retained,21.334375,No Streaming,1-2 Years,High Risk,Manual,No Internet,No,Low
Female,No,No,Yes,21,Yes,No,DSL,Secure,No Backup,Protected,No Support,One year,No,Mailed check,64.85,1336.8,Retained,63.65714285714286,Movies Only,1-2 Years,Medium Risk,Manual,Medium Speed,No,Low
Male,Yes,Yes,No,30,Yes,Yes,DSL,Not Secure,No Backup,Protected,No Support,Two year,No,Electronic check,74.85,2181.75,Retained,72.725,TV + Movies,2-4 Years,Low Risk,Manual,Medium Speed,Yes,Medium
Male,No,No,No,3,Yes,No,DSL,Not Secure,No Backup,Not Protected,Support Available,Month-to-month,Yes,Mailed check,50.5,147.75,Retained,49.25,No Streaming,0-1 Year,High Risk,Manual,Medium Speed,No,Low
Male,No,No,No,11,Yes,No,Fiber optic,Not Secure,No Backup,Protected,No Support,Month-to-month,No,Electronic check,72.9,818.45,Retained,74.40454545454546,No Streaming,0-1 Year,High Risk,Manual,High Speed,Yes,Low
Female,No,No,No,62,Yes,Yes,Fiber optic,Secure,Backup Enabled,Protected,Support Available,One year,Yes,Credit card (automatic),115.05,7133.45,Retained,115.05564516129031,TV + Movies,4+ Years,Medium Risk,Auto,High Speed,Yes,Medium
Male,No,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.0,348.8,Retained,19.37777777777778,No Streaming,1-2 Years,High Risk,Manual,No Internet,No,Low
Male,No,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55,128.6,Retained,21.433333333333334,No Streaming,0-1 Year,High Risk,Manual,No Internet,No,Low
Female,No,No,No,46,Yes,Yes,Fiber optic,Not Secure,No Backup,Protected,No Support,One year,Yes,Electronic check,101.1,4674.4,Retained,101.61739130434782,TV + Movies,2-4 Years,Medium Risk,Manual,High Speed,Yes,Medium
Male,No,No,No,21,Yes,Yes,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,84.1,1737.45,Retained,82.7357142857143,Movies Only,1-2 Years,High Risk,Manual,High Speed,Yes,Medium
Male,No,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.15,1498.85,Retained,22.04191176470588,No Streaming,4+ Years,Low Risk,Auto,No Internet,No,Low
Female,No,No,No,1,Yes,Yes,DSL,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,50.1,50.1,Retained,50.1,No Streaming,0-1 Year,High Risk,Manual,Medium Speed,No,Low
Female,No,Yes,No,25,Yes,No,Fiber optic,Not Secure,No Backup,Protected,No Support,Month-to-month,Yes,Electronic check,74.6,1797.75,Retained,71.91,No Streaming,2-4 Years,High Risk,Manual,High Speed,Yes,Low
Female,No,No,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.75,498.1,Retained,20.754166666666666,No Streaming,1-2 Years,Low Risk,Manual,No Internet,No,Low
Female,No,Yes,No,30,Yes,Yes,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,85.0,2624.25,Churned,87.475,Movies Only,2-4 Years,High Risk,Manual,High Speed,Yes,Medium
Female,No,No,No,2,Yes,No,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,No,Electronic check,80.55,184.1,Churned,92.05,Movies Only,0-1 Year,High Risk,Manual,High Speed,Yes,Low
Male,No,Yes,No,51,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Protected,No Support,One year,Yes,Bank transfer (automatic),106.8,5498.8,Retained,107.81960784313726,TV + Movies,4+ Years,Medium Risk,Auto,High Speed,Yes,Medium
Female,No,Yes,Yes,57,Yes,Yes,DSL,Secure,No Backup,Protected,Support Available,Two year,Yes,Electronic check,84.5,4845.4,Retained,85.00701754385965,TV + Movies,4+ Years,Low Risk,Manual,Medium Speed,Yes,Medium
Female,No,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.05,369.1,Retained,24.60666666666667,No Streaming,1-2 Years,Low Risk,Auto,No Internet,No,Low
Female,No,Yes,Yes,72,Yes,No,DSL,Secure,Backup Enabled,Protected,Support Available,Two year,Yes,Bank transfer (automatic),83.7,6096.9,Retained,84.67916666666666,TV + Movies,4+ Years,Low Risk,Auto,Medium Speed,Yes,Medium
Female,No,No,No,2,Yes,No,Fiber optic,Not Secure,No Backup,Protected,No Support,Month-to-month,Yes,Electronic check,75.8,160.75,Churned,80.375,No Streaming,0-1 Year,High Risk,Manual,High Speed,Yes,Low
Male,No,Yes,No,28,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Protected,No Support,Month-to-month,No,Credit card (automatic),96.6,2684.35,Retained,95.86964285714285,TV Only,2-4 Years,High Risk,Auto,High Speed,Yes,Medium
Male,Yes,Yes,No,29,Yes,Yes,Fiber optic,Not Secure,No Backup,Protected,No Support,Month-to-month,Yes,Electronic check,98.5,3004.15,Churned,103.59137931034483,TV + Movies,2-4 Years,High Risk,Manual,High Speed,Yes,Medium
Male,No,Yes,Yes,70,Yes,No,Fiber optic,Secure,Backup Enabled,Protected,Support Available,Two year,Yes,Credit card (automatic),101.1,6994.8,Retained,99.92571428571429,TV Only,4+ Years,Low Risk,Auto,High Speed,Yes,Low
Female,No,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.2,273.25,Retained,21.01923076923077,No Streaming,1-2 Years,Medium Risk,Manual,No Internet,No,Low
Female,Yes,Yes,No,59,Yes,Yes,Fiber optic,Secure,Backup Enabled,Protected,Support Available,One year,Yes,Electronic check,94.05,5483.9,Retained,92.94745762711864,No Streaming,4+ Years,Medium Risk,Manual,High Speed,Yes,Low
Male,Yes,Yes,No,13,Yes,Yes,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,95.25,1233.65,Churned,94.89615384615385,TV + Movies,1-2 Years,High Risk,Manual,High Speed,Yes,Medium
Male,Yes,Yes,No,7,Yes,Yes,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Mailed check,74.4,527.9,Churned,75.41428571428571,No Streaming,0-1 Year,High Risk,Manual,High Speed,Yes,Low
Female,No,Yes,No,62,Yes,No,DSL,Secure,No Backup,Protected,Support Available,Two year,No,Mailed check,81.0,4985.9,Retained,80.41774193548386,TV + Movies,4+ Years,Low Risk,Manual,Medium Speed,Yes,Medium
Female,No,No,No,21,Yes,No,DSL,Secure,No Backup,Protected,Support Available,One year,Yes,Electronic check,60.25,1258.35,Retained,59.921428571428564,No Streaming,1-2 Years,Medium Risk,Manual,Medium Speed,No,Low
Female,No,No,No,2,Yes,No,DSL,Not Secure,No Backup,Protected,No Support,Month-to-month,No,Electronic check,60.85,111.4,Retained,55.7,Movies Only,0-1 Year,High Risk,Manual,Medium Speed,No,Low
Female,No,No,No,1,Yes,No,DSL,Not Secure,No Backup,Not Protected,No Support,Month-to-month,No,Credit card (automatic),43.95,43.95,Retained,43.95,No Streaming,0-1 Year,High Risk,Auto,Medium Speed,No,Low
Male,No,No,No,4,Yes,No,Fiber optic,Not Secure,No Backup,Protected,No Support,Month-to-month,No,Electronic check,86.05,308.1,Retained,77.025,Movies Only,0-1 Year,High Risk,Manual,High Speed,Yes,Low
Female,No,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.25,383.65,Retained,20.192105263157895,No Streaming,1-2 Years,Medium Risk,Auto,No Internet,No,Low
Female,No,No,No,30,Yes,No,Fiber optic,Not Secure,No Backup,Not Protected,Support Available,Month-to-month,No,Electronic check,85.15,2555.9,Churned,85.19666666666667,TV Only,2-4 Years,High Risk,Manual,High Speed,Yes,Low
Male,No,Yes,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.4,1284.2,Retained,19.16716417910448,No Streaming,4+ Years,Low Risk,Auto,No Internet,No,Low
Male,Yes,Yes,No,72,Yes,Yes,Fiber optic,Secure,Backup Enabled,Protected,No Support,Two year,Yes,Credit card (automatic),102.65,7550.3,Retained,104.86527777777778,Movies Only,4+ Years,Low Risk,Auto,High Speed,Yes,Medium
Male,No,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.9,1110.05,Retained,20.944339622641508,No Streaming,4+ Years,Low Risk,Auto,No Internet,No,Low
Female,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.55,99.6,Retained,19.919999999999998,No Streaming,0-1 Year,Medium Risk,Manual,No Internet,No,Low
Male,Yes,Yes,No,71,Yes,No,Fiber optic,Not Secure,Backup Enabled,Protected,Support Available,Two year,Yes,Credit card (automatic),95.5,6707.15,Retained,94.4669014084507,Movies Only,4+ Years,Low Risk,Auto,High Speed,Yes,Low
Female,No,Yes,Yes,50,Yes,Yes,DSL,Not Secure,Backup Enabled,Protected,Support Available,One year,Yes,Credit card (automatic),84.15,4164.4,Retained,83.288,TV + Movies,4+ Years,Medium Risk,Auto,Medium Speed,Yes,Medium
Male,No,Yes,Yes,56,Yes,Yes,Fiber optic,Not Secure,No Backup,Protected,Support Available,Two year,Yes,Electronic check,103.2,5873.75,Retained,104.88839285714286,TV + Movies,4+ Years,Low Risk,Manual,High Speed,Yes,Medium
Male,No,No,No,2,Yes,No,DSL,Not Secure,No Backup,Not Protected,Support Available,Month-to-month,Yes,Credit card (automatic),50.2,109.25,Retained,54.625,No Streaming,0-1 Year,High Risk,Auto,Medium Speed,No,Low
Female,Yes,No,No,2,Yes,Yes,Fiber optic,Not Secure,No Backup,Protected,No Support,Month-to-month,Yes,Electronic check,88.55,179.25,Churned,89.625,Movies Only,0-1 Year,High Risk,Manual,High Speed,Yes,Medium
Male,No,Yes,Yes,24,Yes,Yes,DSL,Secure,No Backup,Not Protected,No Support,Month-to-month,No,Electronic check,54.75,1338.15,Churned,55.75625,No Streaming,1-2 Years,High Risk,Manual,Medium Speed,No,Low
Male,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.95,862.4,Retained,18.747826086956522,No Streaming,2-4 Years,Low Risk,Auto,No Internet,No,Low
Male,No,Yes,No,71,Yes,Yes,Fiber optic,Secure,Backup Enabled,Protected,Support Available,Two year,Yes,Electronic check,116.25,8564.75,Retained,120.63028169014085,TV + Movies,4+ Years,Low Risk,Manual,High Speed,Yes,Medium
Female,No,No,No,29,No,No,DSL,Not Secure,No Backup,Not Protected,Support Available,Month-to-month,Yes,Electronic check,31.2,926.2,Retained,31.93793103448276,No Streaming,2-4 Years,High Risk,Manual,Medium Speed,No,Low
Male,No,Yes,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.45,1718.2,Retained,24.90144927536232,No Streaming,4+ Years,Low Risk,Auto,No Internet,No,Low
Male,No,Yes,No,71,Yes,Yes,DSL,Not Secure,Backup Enabled,Protected,Support Available,Two year,No,Credit card (automatic),84.2,5956.85,Retained,83.8992957746479,TV + Movies,4+ Years,Low Risk,Auto,Medium Speed,Yes,Medium
Female,Yes,No,No,1,Yes,No,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,91.3,91.3,Churned,91.3,TV + Movies,0-1 Year,High Risk,Manual,High Speed,Yes,Medium
Male,Yes,Yes,No,56,Yes,No,DSL,Secure,Backup Enabled,Protected,Support Available,Two year,Yes,Bank transfer (automatic),85.65,4824.45,Retained,86.15089285714285,TV + Movies,4+ Years,Low Risk,Auto,Medium Speed,Yes,Medium
Male,No,No,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,21.2,1238.65,Retained,22.118750000000002,No Streaming,4+ Years,Medium Risk,Manual,No Internet,No,Low
Male,No,No,No,1,Yes,No,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,79.5,79.5,Churned,79.5,TV Only,0-1 Year,High Risk,Manual,High Speed,Yes,Low
Female,No,Yes,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.55,672.2,Retained,24.00714285714286,No Streaming,2-4 Years,Medium Risk,Manual,No Internet,No,Low
Female,No,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,382.2,Retained,20.11578947368421,No Streaming,1-2 Years,High Risk,Manual,No Internet,No,Low
Male,No,Yes,No,66,Yes,Yes,DSL,Not Secure,No Backup,Not Protected,Support Available,Month-to-month,No,Electronic check,63.85,4264.6,Retained,64.61515151515152,Movies Only,4+ Years,High Risk,Manual,Medium Speed,No,Medium
Female,No,Yes,Yes,17,Yes,Yes,DSL,Not Secure,No Backup,Protected,Support Available,One year,Yes,Mailed check,61.95,1070.7,Retained,62.98235294117647,No Streaming,1-2 Years,Medium Risk,Manual,Medium Speed,No,Low
Male,No,Yes,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.75,1345.85,Retained,25.881730769230767,No Streaming,4+ Years,Low Risk,Manual,No Internet,No,Low
Female,No,No,No,19,Yes,No,DSL,Not Secure,Backup Enabled,Not Protected,No Support,One year,No,Electronic check,58.2,1045.25,Retained,55.01315789473684,TV Only,1-2 Years,Medium Risk,Manual,Medium Speed,No,Low
Female,No,No,No,36,Yes,No,DSL,Secure,Backup Enabled,Protected,Support Available,One year,No,Bank transfer (automatic),85.85,3003.55,Retained,83.43194444444445,TV + Movies,2-4 Years,Medium Risk,Auto,Medium Speed,Yes,Medium
Male,Yes,Yes,No,7,Yes,No,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Mailed check,70.1,467.55,Churned,66.79285714285714,No Streaming,0-1 Year,High Risk,Manual,High Speed,No,Low
Male,No,Yes,Yes,72,Yes,Yes,Fiber optic,Secure,Backup Enabled,Protected,Support Available,One year,Yes,Credit card (automatic),104.9,7537.5,Retained,104.6875,Movies Only,4+ Years,Medium Risk,Auto,High Speed,Yes,Medium
Male,No,Yes,Yes,67,Yes,Yes,Fiber optic,Secure,Backup Enabled,Protected,No Support,One year,Yes,Electronic check,111.3,7482.1,Churned,111.67313432835822,TV + Movies,4+ Years,Medium Risk,Manual,High Speed,Yes,Medium
Male,Yes,No,No,34,Yes,No,Fiber optic,Not Secure,Backup Enabled,Protected,No Support,One year,Yes,Electronic check,99.85,3343.15,Retained,98.32794117647059,TV + Movies,2-4 Years,Medium Risk,Manual,High Speed,Yes,Medium
Male,Yes,Yes,No,57,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Protected,No Support,Month-to-month,Yes,Bank transfer (automatic),95.25,5427.05,Churned,95.21140350877194,Movies Only,4+ Years,High Risk,Auto,High Speed,Yes,Medium
Female,No,Yes,No,7,Yes,No,Fiber optic,Not Secure,No Backup,Protected,No Support,Month-to-month,Yes,Electronic check,86.25,587.1,Churned,83.87142857142858,TV Only,0-1 Year,High Risk,Manual,High Speed,Yes,Low
Female,Yes,Yes,No,1,Yes,Yes,Fiber optic,Not Secure,No Backup,Protected,No Support,Month-to-month,Yes,Electronic check,100.8,100.8,Churned,100.8,TV + Movies,0-1 Year,High Risk,Manual,High Speed,Yes,Medium
Male,No,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.55,161.15,Retained,20.14375,No Streaming,0-1 Year,High Risk,Auto,No Internet,No,Low
Female,No,No,No,69,Yes,Yes,Fiber optic,Not Secure,No Backup,Protected,Support Available,Two year,No,Electronic check,104.0,7028.5,Retained,101.8623188405797,TV + Movies,4+ Years,Low Risk,Manual,High Speed,Yes,Medium
Female,No,Yes,No,50,Yes,Yes,Fiber optic,Secure,No Backup,Protected,No Support,One year,Yes,Mailed check,104.4,5232.9,Retained,104.65799999999999,TV + Movies,4+ Years,Medium Risk,Manual,High Speed,Yes,Medium
Male,No,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.5,225.85,Retained,22.585,No Streaming,0-1 Year,Medium Risk,Manual,No Internet,No,Low
Female,No,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.25,274.7,Retained,22.891666666666666,No Streaming,0-1 Year,Low Risk,Auto,No Internet,No,Low
Female,No,No,No,14,Yes,No,Fiber optic,Not Secure,Backup Enabled,Not Protected,No Support,Month-to-month,Yes,Electronic check,86.3,1180.95,Churned,84.35357142857143,Movies Only,1-2 Years,High Risk,Manual,High Speed,Yes,Low
Female,No,Yes,No,70,No,No,DSL,Secure,No Backup,Protected,Support Available,Two year,Yes,Bank transfer (automatic),49.85,3370.2,Retained,48.145714285714284,Movies Only,4+ Years,Low Risk,Auto,Medium Speed,No,Low
Female,Yes,No,No,64,Yes,Yes,Fiber optic,Secure,No Backup,Protected,Support Available,Month-to-month,Yes,Bank transfer (automatic),108.95,7111.3,Retained,111.1140625,TV + Movies,4+ Years,High Risk,Auto,High Speed,Yes,Medium
Female,No,Yes,Yes,66,Yes,Yes,DSL,Secure,Backup Enabled,Protected,Support Available,Two year,No,Credit card (automatic),89.9,5958.85,Retained,90.28560606060607,TV + Movies,4+ Years,Low Risk,Auto,Medium Speed,Yes,Medium
Female,No,Yes,Yes,71,Yes,No,DSL,Secure,No Backup,Protected,Support Available,Two year,Yes,Credit card (automatic),82.0,5999.85,Retained,84.5049295774648,TV + Movies,4+ Years,Low Risk,Auto,Medium Speed,Yes,Medium
Male,Yes,No,No,20,Yes,No,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,No,Electronic check,89.95,1648.45,Retained,82.4225,TV + Movies,1-2 Years,High Risk,Manual,High Speed,Yes,Medium
Male,No,Yes,No,72,Yes,No,DSL,Secure,Backup Enabled,Not Protected,Support Available,Two year,Yes,Bank transfer (automatic),79.35,5753.25,Retained,79.90625,TV + Movies,4+ Years,Low Risk,Auto,Medium Speed,Yes,Medium
Female,No,Yes,Yes,71,Yes,No,DSL,Secure,Backup Enabled,Protected,Support Available,Two year,No,Credit card (automatic),64.05,4492.9,Retained,63.28028169014084,No Streaming,4+ Years,Low Risk,Auto,Medium Speed,No,Low
Male,No,Yes,Yes,38,Yes,Yes,Fiber optic,Not Secure,No Backup,Protected,No Support,Month-to-month,Yes,Credit card (automatic),101.15,3956.7,Retained,104.1236842105263,TV + Movies,2-4 Years,High Risk,Auto,High Speed,Yes,Medium
Female,No,No,No,28,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Not Protected,No Support,Month-to-month,Yes,Electronic check,89.95,2625.55,Churned,93.76964285714287,Movies Only,2-4 Years,High Risk,Manual,High Speed,Yes,Medium
Male,Yes,Yes,No,17,Yes,No,Fiber optic,Not Secure,Backup Enabled,Not Protected,No Support,Month-to-month,Yes,Electronic check,76.45,1233.4,Churned,72.5529411764706,No Streaming,1-2 Years,High Risk,Manual,High Speed,Yes,Low
Male,No,No,No,33,No,No,DSL,Not Secure,Backup Enabled,Not Protected,No Support,One year,Yes,Electronic check,39.1,1309.0,Retained,39.666666666666664,TV Only,2-4 Years,Medium Risk,Manual,Medium Speed,No,Low
Female,No,Yes,Yes,23,No,No,DSL,Secure,No Backup,Not Protected,Support Available,Two year,No,Mailed check,34.6,813.45,Retained,35.36739130434783,No Streaming,1-2 Years,Low Risk,Manual,Medium Speed,No,Low
Male,No,Yes,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,19.55,1108.8,Retained,19.117241379310343,No Streaming,4+ Years,Medium Risk,Manual,No Internet,No,Low
Female,Yes,Yes,No,70,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Not Protected,Support Available,Two year,Yes,Bank transfer (automatic),104.45,7349.35,Retained,104.99071428571429,TV + Movies,4+ Years,Low Risk,Auto,High Speed,Yes,Medium
Male,No,Yes,No,4,Yes,No,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,No,Electronic check,70.5,294.2,Retained,73.55,No Streaming,0-1 Year,High Risk,Manual,High Speed,Yes,Low
Male,No,Yes,Yes,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.35,929.2,Retained,20.64888888888889,No Streaming,2-4 Years,Low Risk,Manual,No Internet,No,Low
